[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
capacity,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
num-parents,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
distance-buffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
num-schools,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
[reporter],mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions,mean [link-length] of admissions
[final],10.35306792,9.699618839,9.259218424,9.380149699,9.629524185,9.404593769,9.460924972,10.17536129,8.65733639,8.567725145,9.464864449,8.965850795,9.635768876,9.293245842,9.603169334,9.012530905,9.392116916,9.167194752,9.383308046,9.03851731,8.335946568,8.713739241,9.360431811,7.967669311,8.785079788,9.58067926,8.787179919,8.18145138,8.232371731,8.522805755,8.129243858,8.974672734,9.739532068,7.736625609,9.098042954,8.18012387,8.535643338,8.462573159,7.842050915,8.008100786,8.191067452,8.394221665,8.595460108,8.524474432,8.771973669,8.806807169,8.932743219,7.534094594,7.876726235,8.188214819,7.597549398,8.495000143,7.895228243,7.802018246,8.845412034,8.148827663,8.317137827,8.332522472,7.976921102,9.013457715,8.886931351,9.106012695,9.732095936,9.241668236,8.625340582,9.124274786,9.196714623,8.991270582,9.446177611,9.142760185,9.961210534,8.622262436,8.910847273,9.72438583,10.35321846,8.922587229,9.062895747,8.603266223,9.302816011,8.48359844,9.341607096,9.225451988,9.705703035,9.978468203,9.808301826,10.03825774,9.195377112,10.54993696,9.486090951,10.16115614,9.403341363,10.07662902,8.720488473,9.3390076,9.482457955,9.274359075,10.17129747,9.605909571,9.631444775,10.30191682
[min],9.190739945,7.754442928,8.552184375,8.415475771,8.584618469,7.755406027,7.968519905,8.49367312,7.712972843,7.748384076,8.549835611,8.067675696,8.364699275,7.736613634,7.903486137,7.630451194,7.869761156,8.426102086,8.675260547,8.271507898,7.282907772,7.393015184,8.074434079,7.087745179,7.703080078,8.014811135,8.116923916,7.153202193,7.315403653,7.43964759,6.810465727,7.881605695,9.278726321,6.885449862,8.510278147,6.916170241,6.771145385,7.414119032,6.209125393,6.606264895,6.137365806,6.054408594,6.106107949,6.594118766,6.356707162,6.551507231,7.122674475,6.301938004,6.348015606,6.48720742,6.007364064,6.528415883,6.617587882,6.22936258,6.266668069,6.263500355,6.564774929,6.750914381,6.384785236,6.938966176,7.527417454,7.581174863,7.660741588,7.323354987,7.226012309,7.33126416,7.18955486,7.641475146,7.991427178,7.400343238,8.411133901,7.297031823,7.672677423,7.703183522,8.401692879,7.420908309,7.832467147,7.312931167,7.483729638,7.10854722,7.899497069,8.094787728,8.159558612,8.996859752,7.65212908,9.196175811,7.629336058,8.933596691,7.923355238,8.07766499,8.311354149,7.250731421,7.285976416,8.020824023,8.109683767,7.606464849,8.224351637,8.601721544,7.936972333,8.211157481
[max],10.35306792,9.699618839,9.259218424,9.380149699,9.629524185,9.404593769,9.460924972,10.17536129,8.65733639,8.567725145,9.464864449,8.965850795,9.635768876,9.293245842,9.603169334,9.012530905,9.392116916,9.167194752,9.383308046,9.03851731,8.335946568,8.713739241,9.360431811,7.967669311,8.785079788,9.58067926,8.787179919,8.18145138,8.232371731,8.522805755,8.129243858,8.974672734,9.739532068,7.736625609,9.098042954,8.18012387,8.535643338,8.462573159,7.842050915,8.008100786,8.191067452,8.394221665,8.595460108,8.524474432,8.771973669,8.806807169,8.932743219,7.534094594,7.876726235,8.188214819,7.597549398,8.495000143,7.895228243,7.802018246,8.845412034,8.148827663,8.317137827,8.332522472,7.976921102,9.013457715,8.886931351,9.106012695,9.732095936,9.241668236,8.625340582,9.124274786,9.196714623,8.991270582,9.446177611,9.142760185,9.961210534,8.622262436,8.910847273,9.72438583,10.35321846,8.922587229,9.062895747,8.603266223,9.302816011,8.48359844,9.341607096,9.225451988,9.705703035,9.978468203,9.808301826,10.03825774,9.195377112,10.54993696,9.486090951,10.16115614,9.403341363,10.07662902,8.720488473,9.3390076,9.482457955,9.274359075,10.17129747,9.605909571,9.631444775,10.30191682
[mean],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[steps],5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5
